GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G13040685,S195894127,GJ-KU-MAN-051
G13032817,S195894128,GJ-KU-NAK-043
G13032826,S195894129,GJ-KU-MUN-011
G13032877,S195894130,GJ-KU-RAP-053
G13032818,S195894131,GJ-KU-NAK-041
G13032819,S195894133,GJ-KU-NAK-030
G13032820,S195894135,GJ-KU-NAK-030
G13032821,S195894136,GJ-KU-NAK-041
G13036031,S195894138,GJ-KU-LAK-039
G13032878,S195894140,GJ-KU-RAP-033
G13040684,S195894141,GJ-KU-MAN-052
G13032879,S195894143,GJ-KU-RAP-034
G13032505,S195894145,GJ-KU-LAK-058
G13032509,S195894146,GJ-KU-LAK-031
G13032822,S195894147,GJ-KU-NAK-042
G13032823,S195894148,GJ-KU-NAK-043
G12984460,S195894149,GJ-KU-RAN-078
G13033290,S196035928,GJ-KU-BHA-061
G13033578,S196035932,GJ-KU-BHA-067
G13034553,S196035938,GJ-KU-BHA-073
G13039635,S196035941,GJ-KU-BHA-058
G13041128,S196035943,GJ-KU-BHA-048
G13040131,S196301644,GJ-KU-ANJ-001
G13040529,S196301645,GJ-KU-LAK-051
G13033797,S196301657,GJ-KU-LAK-011
G13040842,S196301661,GJ-KU-ABD-070
G13032738,S196301665,GJ-KU-LAK-020
G13034949,S196301669,GJ-KU-LAK-048
G13069072,S196301673,GJ-KU-NAK-010
G13040346,S196301674,GJ-KU-NAK-012
G13040344,S196301676,GJ-KU-NAK-021
G13069071,S196301679,GJ-KU-NAK-014
G13069070,S196301680,GJ-KU-NAK-034
G13040347,S196301682,GJ-KU-NAK-046
G13033229,S196301684,GJ-KU-ABD-083
G13042619,S196301687,GJ-KU-RAN-219
G13035946,S196301689,GJ-KU-RAN-268
G13122286,S224028669,GJ-KU-BHU-003
G13122292,S224028670,GJ-KU-BHU-006
G13122290,S224028672,GJ-KU-RAN-505
G14420055,S224028673,GJ-KU-BHU-011
G13041612,S224028674,GJ-KU-ABD-058
G13035403,S224028738,GJ-KU-ABD-013
G13041619,S224028746,GJ-KU-ABD-023
G13041620,S224028756,GJ-KU-ABD-047
G13040006,S224028762,GJ-KU-LAK-005
G13040525,S224028765,GJ-KU-LAK-052
G13033793,S224028775,GJ-KU-LAK-003
G13069058,S224028789,GJ-KU-BHA-011
G13065270,S224028798,GJ-KU-BHU-134
G13065267,S224028807,GJ-KU-BHU-084
G13065263,S224028820,GJ-KU-BHU-124
G13065252,S224028827,GJ-KU-BHU-137
G13065241,S224028835,GJ-KU-BHU-120
G13050936,S224028844,GJ-KU-RAP-002
G13050939,S224028848,GJ-KU-RAP-010
G13038283,S224028853,GJ-KU-RAN-519
G13051605,S224028931,GJ-KU-BHA-009
G13051606,S224029120,GJ-KU-BHA-011
G13051608,S224029125,GJ-KU-RAN-478
G13051607,S224029137,GJ-KU-RAN-478
G13069059,S224029144,GJ-KU-BHA-005
G13069060,S224029150,GJ-KU-BHA-005
G13069061,S224029155,GJ-KU-BHA-005
G13069062,S224029171,GJ-KU-BHA-005
G13069063,S224029173,GJ-KU-BHA-006
G13051329,S224029189,GJ-KU-NAK-027
G13040935,S224029194,GJ-KU-NAK-040
G13046335,S224029209,GJ-KU-RAN-389
G13041363,S224029226,GJ-KU-NAK-038
G13040862,S224029256,GJ-KU-ABD-087
G13040863,S224029273,GJ-KU-ABD-078
G13040864,S224029287,GJ-KU-ABD-072
G13040865,S224029301,GJ-KU-ABD-058
G13040866,S224029307,GJ-KU-ABD-060
G13040867,S224029314,GJ-KU-ABD-062
G13040549,S224029323,GJ-KU-ABD-078
G13040941,S224029328,GJ-KU-NAK-048
G13040956,S224029341,GJ-KU-NAK-036
G13040330,S224029348,GJ-KU-MAN-021
G13040965,S224029356,GJ-KU-LIT-040
G10917746,S224029358,GJ-KU-MAN-009
G10917745,S224029363,GJ-KU-MAN-003
